Particle Size, Parallel Sim Approximation, Time, Error, Abs Error
182000,1.22000005029,0.00034875701,-2.200001e-01,2.200001e-01
183000,0.96000003957,0.00035315100,3.999992e-02,3.999992e-02
184000,0.92000003793,0.00034458500,7.999992e-02,7.999992e-02
185000,1.00000004122,0.00035916000,-8.450730e-08,8.450730e-08
186000,1.04000004287,0.00033992200,-4.000009e-02,4.000009e-02
187000,0.94000003875,0.00034872601,5.999992e-02,5.999992e-02
188000,1.28000005277,0.00036774900,-2.800001e-01,2.800001e-01
189000,1.10000004535,0.00035449400,-1.000001e-01,1.000001e-01
190000,0.92000003793,0.00034809101,7.999992e-02,7.999992e-02
191000,1.12000004617,0.00032950699,-1.200001e-01,1.200001e-01
192000,0.88000003628,0.00036046200,1.199999e-01,1.199999e-01
193000,1.12000004617,0.00035944099,-1.200001e-01,1.200001e-01
194000,0.92000003793,0.00283177700,7.999992e-02,7.999992e-02
195000,0.96000003957,0.00217476200,3.999992e-02,3.999992e-02
196000,0.98000004040,0.00034691801,1.999992e-02,1.999992e-02
197000,0.94000003875,0.00034162101,5.999992e-02,5.999992e-02
198000,0.86000003545,0.00036633300,1.399999e-01,1.399999e-01
199000,1.10000004535,0.00035724799,-1.000001e-01,1.000001e-01
200000,1.26000005194,0.00034276501,-2.600001e-01,2.600001e-01
201000,1.00000004122,0.00037841301,-8.450730e-08,8.450730e-08
202000,0.86000003545,0.00035766000,1.399999e-01,1.399999e-01
203000,0.94000003875,0.00036465001,5.999992e-02,5.999992e-02
204000,0.90000003710,0.00034924199,9.999992e-02,9.999992e-02
205000,1.22000005029,0.00035555000,-2.200001e-01,2.200001e-01
206000,1.08000004452,0.00036114000,-8.000009e-02,8.000009e-02
207000,0.88000003628,0.00032434901,1.199999e-01,1.199999e-01
208000,1.14000004699,0.00035436300,-1.400001e-01,1.400001e-01
209000,1.06000004370,0.00034922000,-6.000009e-02,6.000009e-02
210000,0.80000003298,0.00035496400,1.999999e-01,1.999999e-01
211000,1.08000004452,0.00038841501,-8.000009e-02,8.000009e-02
212000,1.24000005112,0.00032079000,-2.400001e-01,2.400001e-01
213000,1.10000004535,0.00035371800,-1.000001e-01,1.000001e-01
214000,1.12000004617,0.00036392700,-1.200001e-01,1.200001e-01
215000,1.14000004699,0.00035101200,-1.400001e-01,1.400001e-01
216000,0.90000003710,0.00032320801,9.999992e-02,9.999992e-02
217000,0.74000003051,0.00031742700,2.599999e-01,2.599999e-01
218000,1.10000004535,0.00033244201,-1.000001e-01,1.000001e-01
219000,0.78000003215,0.00035213599,2.199999e-01,2.199999e-01
220000,1.14000004699,0.00036446699,-1.400001e-01,1.400001e-01
221000,0.96000003957,0.00034506801,3.999992e-02,3.999992e-02
222000,0.94000003875,0.00034318201,5.999992e-02,5.999992e-02
223000,1.10000004535,0.00035796700,-1.000001e-01,1.000001e-01
224000,0.94000003875,0.00035416901,5.999992e-02,5.999992e-02
225000,0.86000003545,0.00035798299,1.399999e-01,1.399999e-01
226000,0.98000004040,0.00033860799,1.999992e-02,1.999992e-02
227000,0.80000003298,0.00033329900,1.999999e-01,1.999999e-01
228000,0.78000003215,0.00035425801,2.199999e-01,2.199999e-01
229000,1.10000004535,0.00033200299,-1.000001e-01,1.000001e-01
230000,0.90000003710,0.00034219699,9.999992e-02,9.999992e-02
231000,1.02000004205,0.00034313300,-2.000009e-02,2.000009e-02
232000,1.08000004452,0.00035581201,-8.000009e-02,8.000009e-02
233000,0.92000003793,0.00035219500,7.999992e-02,7.999992e-02
234000,0.96000003957,0.00035545000,3.999992e-02,3.999992e-02
235000,0.80000003298,0.00033193700,1.999999e-01,1.999999e-01
236000,0.80000003298,0.00035916000,1.999999e-01,1.999999e-01
237000,0.96000003957,0.00031567900,3.999992e-02,3.999992e-02
238000,1.08000004452,0.00032443901,-8.000009e-02,8.000009e-02
239000,0.70000002886,0.00035299800,2.999999e-01,2.999999e-01
240000,1.18000004864,0.00035020201,-1.800001e-01,1.800001e-01
241000,1.08000004452,0.00034681900,-8.000009e-02,8.000009e-02
242000,0.88000003628,0.00078028999,1.199999e-01,1.199999e-01
243000,0.88000003628,0.00036741600,1.199999e-01,1.199999e-01
244000,1.00000004122,0.00033847900,-8.450730e-08,8.450730e-08
245000,0.84000003463,0.00035972599,1.599999e-01,1.599999e-01
246000,1.16000004782,0.00036186000,-1.600001e-01,1.600001e-01
247000,0.96000003957,0.00037067199,3.999992e-02,3.999992e-02
248000,0.96000003957,0.00034401800,3.999992e-02,3.999992e-02
249000,1.14000004699,0.00035683300,-1.400001e-01,1.400001e-01
250000,1.04000004287,0.00036781901,-4.000009e-02,4.000009e-02
251000,1.04000004287,0.00032701800,-4.000009e-02,4.000009e-02
252000,0.92000003793,0.00034455801,7.999992e-02,7.999992e-02
253000,1.08000004452,0.00031802100,-8.000009e-02,8.000009e-02
254000,1.00000004122,0.00036023201,-8.450730e-08,8.450730e-08
255000,0.84000003463,0.00035808000,1.599999e-01,1.599999e-01
256000,1.26000005194,0.00033865900,-2.600001e-01,2.600001e-01
257000,1.14000004699,0.00035805900,-1.400001e-01,1.400001e-01
258000,1.02000004205,0.00034189700,-2.000009e-02,2.000009e-02
259000,1.08000004452,0.00033806100,-8.000009e-02,8.000009e-02
260000,1.08000004452,0.00036357400,-8.000009e-02,8.000009e-02
