n,Average,Min,Max,Range,Variance
166000,0.001244,0.001129,0.001858,0.000729,0.000002
167000,0.001219,0.001139,0.002106,0.000967,0.000002
168000,0.001229,0.001142,0.002043,0.000901,0.000002
169000,0.001228,0.001152,0.002008,0.000856,0.000002
170000,0.001237,0.001155,0.002002,0.000847,0.000002
171000,0.001243,0.001169,0.002024,0.000855,0.000002
172000,0.001222,0.001176,0.001988,0.000812,0.000002
173000,0.001233,0.001181,0.002077,0.000896,0.000002
174000,0.001249,0.001190,0.002112,0.000922,0.000002
175000,0.001251,0.001195,0.001894,0.000699,0.000002
176000,0.001270,0.001207,0.002137,0.000930,0.000002
177000,0.001255,0.001210,0.001869,0.000659,0.000002
178000,0.001235,0.001220,0.001267,0.000047,0.000002
179000,0.001239,0.001230,0.001282,0.000052,0.000002
180000,0.001281,0.001235,0.001858,0.000623,0.000002
181000,0.001280,0.001243,0.001709,0.000466,0.000002
182000,0.001320,0.001248,0.001922,0.000674,0.000002
183000,0.001292,0.001256,0.001695,0.000439,0.000002
184000,0.001325,0.001262,0.001833,0.000571,0.000002
185000,0.001337,0.001270,0.001981,0.000711,0.000002
186000,0.001324,0.001279,0.001747,0.000468,0.000002
187000,0.001365,0.001287,0.002047,0.000760,0.000002
188000,0.001419,0.001289,0.002246,0.000957,0.000002
189000,0.001410,0.001298,0.002057,0.000759,0.000002
190000,0.001351,0.001307,0.001672,0.000365,0.000002
191000,0.001408,0.001311,0.002234,0.000923,0.000002
192000,0.001503,0.001321,0.002392,0.001071,0.000002
193000,0.001412,0.001329,0.001916,0.000587,0.000002
194000,0.001412,0.001333,0.002136,0.000803,0.000002
195000,0.001444,0.001344,0.002258,0.000914,0.000002
196000,0.001457,0.001350,0.002288,0.000938,0.000002
197000,0.001489,0.001361,0.002274,0.000913,0.000002
198000,0.001490,0.001366,0.002137,0.000771,0.000002
199000,0.001557,0.001375,0.002317,0.000942,0.000003
200000,0.001449,0.001382,0.001813,0.000431,0.000002
201000,0.001481,0.001389,0.002127,0.000738,0.000002
202000,0.001548,0.001393,0.002221,0.000828,0.000002
203000,0.001504,0.001402,0.002160,0.000758,0.000002
204000,0.001566,0.001410,0.002270,0.000860,0.000003
205000,0.001630,0.001418,0.002908,0.001490,0.000003
206000,0.001552,0.001426,0.002559,0.001133,0.000002
207000,0.001580,0.001431,0.002585,0.001154,0.000003
208000,0.001564,0.001442,0.002258,0.000816,0.000002
209000,0.001649,0.001448,0.002607,0.001159,0.000003
210000,0.001617,0.001454,0.002636,0.001182,0.000003
211000,0.001650,0.001463,0.002611,0.001148,0.000003
212000,0.001598,0.001471,0.002588,0.001117,0.000003
213000,0.001596,0.001474,0.002485,0.001011,0.000003
214000,0.001641,0.001484,0.002665,0.001181,0.000003
215000,0.001686,0.001493,0.002473,0.000980,0.000003
216000,0.001664,0.001498,0.002260,0.000762,0.000003
217000,0.001637,0.001505,0.002187,0.000682,0.000003
218000,0.001654,0.001511,0.002654,0.001143,0.000003
219000,0.001809,0.001520,0.002715,0.001195,0.000003
220000,0.001755,0.001526,0.002715,0.001189,0.000003
221000,0.001748,0.001531,0.002682,0.001151,0.000003
222000,0.001864,0.001540,0.002790,0.001250,0.000004
223000,0.001680,0.001552,0.002599,0.001047,0.000003
224000,0.001771,0.001555,0.002679,0.001124,0.000003
225000,0.001738,0.001564,0.002528,0.000964,0.000003
226000,0.001833,0.001568,0.002731,0.001163,0.000003
227000,0.001800,0.001573,0.002553,0.000980,0.000003
228000,0.001825,0.001585,0.002834,0.001249,0.000004
229000,0.001812,0.001594,0.002848,0.001254,0.000003
230000,0.001815,0.001599,0.002888,0.001289,0.000003
231000,0.001906,0.001603,0.002845,0.001242,0.000004
232000,0.001903,0.001614,0.002900,0.001286,0.000004
233000,0.001895,0.001624,0.002919,0.001295,0.000004
234000,0.001883,0.001626,0.002895,0.001269,0.000004
235000,0.001904,0.001635,0.002766,0.001131,0.000004
236000,0.001896,0.001644,0.002766,0.001122,0.000004
237000,0.001922,0.001656,0.002987,0.001331,0.000004
238000,0.001879,0.001659,0.002861,0.001202,0.000004
239000,0.001905,0.001666,0.002881,0.001215,0.000004
240000,0.001884,0.001673,0.003008,0.001335,0.000004
241000,0.001906,0.001683,0.003013,0.001330,0.000004
242000,0.001912,0.001688,0.002794,0.001106,0.000004
243000,0.001875,0.001700,0.002943,0.001243,0.000004
244000,0.001927,0.001700,0.003085,0.001385,0.000004
245000,0.001887,0.001716,0.003089,0.001373,0.000004
246000,0.001881,0.001715,0.003070,0.001355,0.000004
247000,0.001937,0.001726,0.003107,0.001381,0.000004
248000,0.001852,0.001730,0.002837,0.001107,0.000004
249000,0.001937,0.001746,0.003133,0.001387,0.000004
250000,0.001863,0.001748,0.002908,0.001160,0.000004
251000,0.001923,0.001754,0.003070,0.001316,0.000004
252000,0.001893,0.001767,0.003127,0.001360,0.000004
253000,0.001888,0.001772,0.003063,0.001291,0.000004
254000,0.001914,0.001775,0.003157,0.001382,0.000004
255000,0.001904,0.001782,0.003067,0.001285,0.000004
256000,0.001871,0.001796,0.003102,0.001306,0.000004
257000,0.002044,0.001802,0.003235,0.001433,0.000004
258000,0.001985,0.001809,0.003215,0.001406,0.000004
259000,0.002076,0.001818,0.003189,0.001371,0.000004
260000,0.001975,0.001824,0.003209,0.001385,0.000004
261000,0.001979,0.001830,0.003189,0.001359,0.000004
