n,Average,Min,Max,Range,Variance
178000,0.000213,0.000211,0.000215,0.000004,0.000000
179000,0.000214,0.000212,0.000217,0.000005,0.000000
180000,0.000216,0.000214,0.000222,0.000008,0.000000
181000,0.000217,0.000215,0.000222,0.000007,0.000000
182000,0.000218,0.000216,0.000223,0.000007,0.000000
183000,0.000219,0.000217,0.000221,0.000004,0.000000
184000,0.000221,0.000218,0.000230,0.000012,0.000000
185000,0.000221,0.000219,0.000223,0.000004,0.000000
186000,0.000222,0.000220,0.000226,0.000006,0.000000
187000,0.000224,0.000222,0.000227,0.000005,0.000000
188000,0.000226,0.000223,0.000257,0.000034,0.000000
189000,0.000228,0.000224,0.000280,0.000056,0.000000
190000,0.000227,0.000225,0.000233,0.000008,0.000000
191000,0.000229,0.000226,0.000232,0.000006,0.000000
192000,0.000230,0.000228,0.000235,0.000007,0.000000
193000,0.000231,0.000229,0.000236,0.000007,0.000000
194000,0.000232,0.000230,0.000237,0.000007,0.000000
195000,0.000233,0.000231,0.000238,0.000007,0.000000
196000,0.000235,0.000232,0.000236,0.000004,0.000000
197000,0.000235,0.000233,0.000240,0.000007,0.000000
198000,0.000237,0.000235,0.000241,0.000006,0.000000
199000,0.000238,0.000236,0.000243,0.000007,0.000000
200000,0.000240,0.000237,0.000260,0.000023,0.000000
201000,0.000249,0.000238,0.000397,0.000159,0.000000
202000,0.000242,0.000239,0.000247,0.000008,0.000000
203000,0.000280,0.000240,0.001156,0.000916,0.000000
204000,0.000244,0.000242,0.000248,0.000006,0.000000
205000,0.000245,0.000243,0.000247,0.000004,0.000000
206000,0.000247,0.000245,0.000252,0.000007,0.000000
207000,0.000248,0.000245,0.000269,0.000024,0.000000
208000,0.000249,0.000247,0.000256,0.000009,0.000000
209000,0.000250,0.000248,0.000253,0.000005,0.000000
210000,0.000251,0.000249,0.000255,0.000006,0.000000
211000,0.000253,0.000250,0.000283,0.000033,0.000000
212000,0.000255,0.000251,0.000307,0.000056,0.000000
213000,0.000255,0.000252,0.000259,0.000007,0.000000
214000,0.000256,0.000254,0.000261,0.000007,0.000000
215000,0.000257,0.000255,0.000262,0.000007,0.000000
216000,0.000258,0.000256,0.000262,0.000006,0.000000
217000,0.000260,0.000257,0.000264,0.000007,0.000000
218000,0.000261,0.000258,0.000262,0.000004,0.000000
219000,0.000262,0.000259,0.000267,0.000008,0.000000
220000,0.000262,0.000261,0.000267,0.000006,0.000000
221000,0.000264,0.000262,0.000271,0.000009,0.000000
222000,0.000266,0.000263,0.000269,0.000006,0.000000
223000,0.000269,0.000264,0.000312,0.000048,0.000000
224000,0.000269,0.000265,0.000290,0.000025,0.000000
225000,0.000269,0.000267,0.000273,0.000006,0.000000
226000,0.000270,0.000267,0.000272,0.000005,0.000000
227000,0.000272,0.000269,0.000285,0.000016,0.000000
228000,0.000273,0.000270,0.000278,0.000008,0.000000
229000,0.000283,0.000271,0.000502,0.000231,0.000000
230000,0.000275,0.000273,0.000279,0.000006,0.000000
231000,0.000276,0.000274,0.000280,0.000006,0.000000
232000,0.000278,0.000275,0.000283,0.000008,0.000000
233000,0.000278,0.000276,0.000285,0.000009,0.000000
234000,0.000283,0.000277,0.000320,0.000043,0.000000
235000,0.000281,0.000278,0.000287,0.000009,0.000000
236000,0.000282,0.000279,0.000284,0.000005,0.000000
237000,0.000283,0.000281,0.000286,0.000005,0.000000
238000,0.000284,0.000282,0.000290,0.000008,0.000000
239000,0.000285,0.000283,0.000287,0.000004,0.000000
240000,0.000287,0.000284,0.000298,0.000014,0.000000
241000,0.000288,0.000286,0.000292,0.000006,0.000000
242000,0.000290,0.000286,0.000296,0.000010,0.000000
243000,0.000291,0.000288,0.000295,0.000007,0.000000
244000,0.000292,0.000289,0.000298,0.000009,0.000000
245000,0.000292,0.000290,0.000300,0.000010,0.000000
246000,0.000295,0.000291,0.000306,0.000015,0.000000
247000,0.000296,0.000293,0.000299,0.000006,0.000000
248000,0.000297,0.000294,0.000306,0.000012,0.000000
249000,0.000298,0.000295,0.000304,0.000009,0.000000
250000,0.000299,0.000296,0.000305,0.000009,0.000000
251000,0.000299,0.000297,0.000302,0.000005,0.000000
252000,0.000301,0.000298,0.000305,0.000007,0.000000
253000,0.000302,0.000300,0.000304,0.000004,0.000000
254000,0.000314,0.000301,0.000514,0.000213,0.000000
255000,0.000304,0.000302,0.000308,0.000006,0.000000
256000,0.000306,0.000303,0.000311,0.000008,0.000000
257000,0.000307,0.000304,0.000313,0.000009,0.000000
258000,0.000308,0.000305,0.000310,0.000005,0.000000
259000,0.000767,0.000307,0.004889,0.004582,0.000002
260000,0.000499,0.000318,0.003899,0.003581,0.000001
261000,0.000332,0.000319,0.000549,0.000230,0.000000
262000,0.000380,0.000321,0.001680,0.001359,0.000000
263000,0.000341,0.000322,0.000553,0.000231,0.000000
264000,0.000326,0.000323,0.000335,0.000012,0.000000
265000,0.000331,0.000324,0.000359,0.000035,0.000000
266000,0.000328,0.000325,0.000339,0.000014,0.000000
267000,0.000331,0.000326,0.000347,0.000021,0.000000
268000,0.000331,0.000327,0.000342,0.000015,0.000000
269000,0.000332,0.000329,0.000342,0.000013,0.000000
270000,0.000333,0.000330,0.000338,0.000008,0.000000
271000,0.000334,0.000331,0.000336,0.000005,0.000000
272000,0.000336,0.000332,0.000354,0.000022,0.000000
273000,0.000342,0.000334,0.000430,0.000096,0.000000
274000,0.000337,0.000333,0.000341,0.000008,0.000000
275000,0.000339,0.000336,0.000347,0.000011,0.000000
276000,0.000340,0.000337,0.000355,0.000018,0.000000
277000,0.000341,0.000338,0.000351,0.000013,0.000000
278000,0.000350,0.000340,0.000534,0.000194,0.000000
279000,0.000343,0.000340,0.000347,0.000007,0.000000
280000,0.000345,0.000341,0.000357,0.000016,0.000000
281000,0.000346,0.000343,0.000355,0.000012,0.000000
282000,0.000348,0.000344,0.000357,0.000013,0.000000
283000,0.000353,0.000345,0.000454,0.000109,0.000000
284000,0.000349,0.000346,0.000367,0.000021,0.000000
285000,0.000350,0.000347,0.000358,0.000011,0.000000
286000,0.000351,0.000348,0.000364,0.000016,0.000000
287000,0.000352,0.000350,0.000358,0.000008,0.000000
288000,0.000354,0.000350,0.000379,0.000029,0.000000
289000,0.000354,0.000352,0.000359,0.000007,0.000000
290000,0.000356,0.000353,0.000369,0.000016,0.000000
291000,0.000358,0.000354,0.000394,0.000040,0.000000
292000,0.000362,0.000355,0.000440,0.000085,0.000000
293000,0.000359,0.000357,0.000370,0.000013,0.000000
294000,0.000361,0.000358,0.000371,0.000013,0.000000
295000,0.000362,0.000359,0.000366,0.000007,0.000000
296000,0.000362,0.000360,0.000372,0.000012,0.000000
