Dimension,Time
1700,0.042440
1700,0.043643
1700,0.045575
1700,0.039903
1700,0.035135
1700,0.044111
1700,0.033468
1700,0.045636
1700,0.035860
1700,0.044789
1700,0.033378
1700,0.054426
1700,0.032588
1700,0.053675
1700,0.044518
1700,0.047117
1700,0.046624
1700,0.039021
1700,0.046618
1700,0.050730
1700,0.035035
1700,0.044457
1700,0.036944
1700,0.047600
1700,0.045762
1700,0.036093
1700,0.041381
1700,0.051922
1700,0.048710
1700,0.050312
1700,0.035721
1700,0.043233
1700,0.042672
1700,0.036331
1700,0.045484
1700,0.041722
1700,0.044576
1700,0.045457
1700,0.042050
1700,0.047373
1700,0.043327
1700,0.050020
1700,0.035541
1700,0.037065
1700,0.047322
1700,0.047678
1700,0.045739
1700,0.045943
1700,0.042712
1700,0.045744

1800,0.050232
1800,0.037664
1800,0.045645
1800,0.060665
1800,0.049109
1800,0.058618
1800,0.044904
1800,0.038169
1800,0.046997
1800,0.054540
1800,0.041066
1800,0.052194
1800,0.037278
1800,0.051136
1800,0.052713
1800,0.059513
1800,0.051582
1800,0.036961
1800,0.049256
1800,0.037953
1800,0.062289
1800,0.055841
1800,0.042160
1800,0.049628
1800,0.043531
1800,0.045315
1800,0.047014
1800,0.049611
1800,0.046065
1800,0.037452
1800,0.048887
1800,0.049108
1800,0.054609
1800,0.052735
1800,0.056089
1800,0.058333
1800,0.039643
1800,0.056330
1800,0.044532
1800,0.038029
1800,0.036788
1800,0.058357
1800,0.051761
1800,0.054730
1800,0.054221
1800,0.054339
1800,0.050572
1800,0.036460
1800,0.041582
1800,0.051241

1900,0.058461
1900,0.056738
1900,0.052148
1900,0.062215
1900,0.052184
1900,0.059613
1900,0.062022
1900,0.072656
1900,0.056669
1900,0.057642
1900,0.049945
1900,0.041450
1900,0.059951
1900,0.053652
1900,0.054981
1900,0.044987
1900,0.057899
1900,0.060711
1900,0.050147
1900,0.052657
1900,0.058276
1900,0.052120
1900,0.044690
1900,0.054311
1900,0.056281
1900,0.057616
1900,0.053750
1900,0.052989
1900,0.053628
1900,0.072841
1900,0.052367
1900,0.053701
1900,0.059382
1900,0.056475
1900,0.044009
1900,0.052727
1900,0.042128
1900,0.041295
1900,0.044039
1900,0.044818
1900,0.057656
1900,0.054205
1900,0.055511
1900,0.056082
1900,0.066947
1900,0.054675
1900,0.042343
1900,0.058389
1900,0.056141
1900,0.057001

2000,0.074165
