Thread Count, Parallel Sim Approximation, Time, Error, Abs Error
1000000,1.000000,0.006698,3.916192e-08,3.916192e-08
1000000,1.000000,0.005001,3.916192e-08,3.916192e-08
1000000,1.000000,0.005610,3.916192e-08,3.916192e-08
1000000,1.000000,0.004840,3.916192e-08,3.916192e-08
1000000,1.000000,0.005872,3.916192e-08,3.916192e-08
1000000,1.000000,0.008032,3.916192e-08,3.916192e-08
1000000,1.000000,0.005743,3.916192e-08,3.916192e-08
1000000,1.000000,0.005578,3.916192e-08,3.916192e-08
1000000,1.000000,0.004935,3.916192e-08,3.916192e-08
1000000,1.000000,0.002873,3.916192e-08,3.916192e-08
1000000,1.000000,0.005169,3.916192e-08,3.916192e-08
1000000,1.000000,0.003471,3.916192e-08,3.916192e-08
1000000,1.000000,0.007669,3.916192e-08,3.916192e-08
1000000,1.000000,0.006760,3.916192e-08,3.916192e-08
1000000,1.000000,0.005643,3.916192e-08,3.916192e-08
1000000,1.000000,0.005415,3.916192e-08,3.916192e-08
1000000,1.000000,0.005613,3.916192e-08,3.916192e-08
1000000,1.000000,0.004996,3.916192e-08,3.916192e-08
1000000,1.000000,0.005939,3.916192e-08,3.916192e-08
1000000,1.000000,0.006381,3.916192e-08,3.916192e-08
1000000,1.000000,0.008099,3.916192e-08,3.916192e-08
1000000,1.000000,0.008028,3.916192e-08,3.916192e-08
1000000,1.000000,0.007317,3.916192e-08,3.916192e-08
1000000,1.000000,0.007262,3.916192e-08,3.916192e-08
1000000,1.000000,0.010230,3.916192e-08,3.916192e-08
1000000,1.000000,0.008641,3.916192e-08,3.916192e-08
1000000,1.000000,0.006887,3.916192e-08,3.916192e-08
1000000,1.000000,0.007774,3.916192e-08,3.916192e-08
1000000,1.000000,0.004043,3.916192e-08,3.916192e-08
1000000,1.000000,0.006834,3.916192e-08,3.916192e-08
1000000,1.000000,0.008527,3.916192e-08,3.916192e-08
1000000,1.000000,0.008262,3.916192e-08,3.916192e-08
1000000,1.000000,0.010932,3.916192e-08,3.916192e-08
1000000,1.000000,0.009828,3.916192e-08,3.916192e-08
1000000,1.000000,0.007910,3.916192e-08,3.916192e-08
1000000,1.000000,0.009515,3.916192e-08,3.916192e-08
1000000,1.000000,0.007207,3.916192e-08,3.916192e-08
1000000,1.000000,0.007699,3.916192e-08,3.916192e-08
1000000,1.000000,0.006502,3.916192e-08,3.916192e-08
1000000,1.000000,0.007769,3.916192e-08,3.916192e-08
1000000,1.000000,0.008361,3.916192e-08,3.916192e-08
1000000,1.000000,0.009870,3.916192e-08,3.916192e-08
1000000,1.000000,0.009107,3.916192e-08,3.916192e-08
