Thread Count, Parallel Trapezoidal Approximation, Time, Error, Abs Error
19904,0.948736,0.701498,5.126432e-02,5.126432e-02
20004,0.950659,0.665503,4.934122e-02,4.934122e-02
20104,0.945431,0.675379,5.456888e-02,5.456888e-02
20204,0.951233,0.696981,4.876746e-02,4.876746e-02
20304,0.956471,0.681365,4.352914e-02,4.352914e-02
20404,0.938370,0.741714,6.162969e-02,6.162969e-02
20504,0.945542,0.733861,5.445795e-02,5.445795e-02
20604,0.779571,0.702966,2.204289e-01,2.204289e-01
20704,0.947695,0.770268,5.230498e-02,5.230498e-02
20804,0.949361,0.753862,5.063855e-02,5.063855e-02
20904,0.951039,0.704702,4.896102e-02,4.896102e-02
21004,0.948018,0.782649,5.198172e-02,5.198172e-02
21104,0.958133,0.760524,4.186674e-02,4.186674e-02
21204,0.895945,0.706111,1.040549e-01,1.040549e-01
21304,0.951611,0.738697,4.838858e-02,4.838858e-02
21404,0.953665,0.716699,4.633534e-02,4.633534e-02
21504,0.952462,0.789985,4.753755e-02,4.753755e-02
21604,0.949873,0.738558,5.012734e-02,5.012734e-02
21704,0.955045,0.815541,4.495539e-02,4.495539e-02
21804,0.954836,0.875809,4.516413e-02,4.516413e-02
21904,0.948609,0.892283,5.139116e-02,5.139116e-02
22004,0.920236,0.855984,7.976417e-02,7.976417e-02
22104,0.155032,0.781526,8.449685e-01,8.449685e-01
22204,0.947829,0.731093,5.217122e-02,5.217122e-02
22304,0.955534,0.791660,4.446596e-02,4.446596e-02
22404,0.705536,0.742392,2.944642e-01,2.944642e-01
22504,0.954959,0.761394,4.504146e-02,4.504146e-02
22604,0.944210,0.750474,5.579051e-02,5.579051e-02
22704,0.948391,0.788365,5.160938e-02,5.160938e-02
22804,0.952329,0.772017,4.767066e-02,4.767066e-02
22904,0.946551,0.757118,5.344881e-02,5.344881e-02
23004,0.949412,0.833263,5.058822e-02,5.058822e-02
23104,0.863370,0.800716,1.366299e-01,1.366299e-01
23204,0.950694,0.882724,4.930630e-02,4.930630e-02
23304,0.949237,0.769251,5.076317e-02,5.076317e-02
23404,0.957923,0.789327,4.207719e-02,4.207719e-02
23504,0.956587,0.781651,4.341348e-02,4.341348e-02
23604,0.950370,0.781433,4.962993e-02,4.962993e-02
23704,1.035197,0.810148,-3.519703e-02,3.519703e-02
23804,0.956603,0.815727,4.339691e-02,4.339691e-02
23904,0.955432,0.878871,4.456771e-02,4.456771e-02
24004,0.956676,0.880358,4.332409e-02,4.332409e-02
24104,0.538216,0.803920,4.617845e-01,4.617845e-01
24204,0.950873,0.789334,4.912730e-02,4.912730e-02
24304,0.954892,0.813891,4.510845e-02,4.510845e-02
24404,0.939353,0.854750,6.064672e-02,6.064672e-02
24504,0.953765,0.859774,4.623466e-02,4.623466e-02
24604,0.958920,0.827209,4.107986e-02,4.107986e-02
24704,0.955373,0.824490,4.462740e-02,4.462740e-02
24804,0.940141,0.828497,5.985865e-02,5.985865e-02
24904,0.693938,0.898052,3.060616e-01,3.060616e-01
25004,0.958752,0.840913,4.124782e-02,4.124782e-02
25104,0.954272,0.883018,4.572835e-02,4.572835e-02
25204,0.955377,0.852182,4.462321e-02,4.462321e-02
25304,0.952900,0.855366,4.710044e-02,4.710044e-02
25404,0.964493,0.900464,3.550672e-02,3.550672e-02
25504,0.961897,0.868816,3.810311e-02,3.810311e-02
25604,0.958912,0.867226,4.108756e-02,4.108756e-02
25704,0.956037,0.852875,4.396309e-02,4.396309e-02
25804,0.941695,0.887749,5.830547e-02,5.830547e-02
25904,0.951039,0.886734,4.896116e-02,4.896116e-02
