Particle Size, Serial Sim Approximation, Time, Error, Abs Error
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
401,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
501,1.000000,0.000001,3.916192e-08,3.916192e-08
