Particle Size, Parallel Sim Approximation, Time, Error, Abs Error
101,1.000000,0.002302,3.916192e-08,3.916192e-08
101,1.000000,0.000129,3.916192e-08,3.916192e-08
101,1.000000,0.000146,3.916192e-08,3.916192e-08
101,1.000000,0.005337,3.916192e-08,3.916192e-08
101,1.000000,0.003489,3.916192e-08,3.916192e-08
101,1.000000,0.000129,3.916192e-08,3.916192e-08
101,1.000000,0.000323,3.916192e-08,3.916192e-08
101,1.000000,0.003244,3.916192e-08,3.916192e-08
201,1.000000,0.000759,3.916192e-08,3.916192e-08
201,1.000000,0.000329,3.916192e-08,3.916192e-08
201,1.000000,0.003039,3.916192e-08,3.916192e-08
201,1.000000,0.003016,3.916192e-08,3.916192e-08
201,1.000000,0.000588,3.916192e-08,3.916192e-08
201,1.000000,0.000482,3.916192e-08,3.916192e-08
201,1.000000,0.003030,3.916192e-08,3.916192e-08
201,1.000000,0.005194,3.916192e-08,3.916192e-08
201,1.000000,0.003110,3.916192e-08,3.916192e-08
201,1.000000,0.005069,3.916192e-08,3.916192e-08
201,1.000000,0.004095,3.916192e-08,3.916192e-08
201,1.000000,0.000483,3.916192e-08,3.916192e-08
201,1.000000,0.000376,3.916192e-08,3.916192e-08
201,1.000000,0.002823,3.916192e-08,3.916192e-08
201,1.000000,0.005151,3.916192e-08,3.916192e-08
201,1.000000,0.005708,3.916192e-08,3.916192e-08
201,1.000000,0.002825,3.916192e-08,3.916192e-08
201,1.000000,0.005012,3.916192e-08,3.916192e-08
201,1.000000,0.002982,3.916192e-08,3.916192e-08
201,1.000000,0.000641,3.916192e-08,3.916192e-08
201,1.000000,0.000564,3.916192e-08,3.916192e-08
201,1.000000,0.002981,3.916192e-08,3.916192e-08
201,1.000000,0.003084,3.916192e-08,3.916192e-08
201,1.000000,0.002867,3.916192e-08,3.916192e-08
201,1.000000,0.000306,3.916192e-08,3.916192e-08
301,1.000000,0.003029,3.916192e-08,3.916192e-08
301,1.000000,0.003123,3.916192e-08,3.916192e-08
301,1.000000,0.003173,3.916192e-08,3.916192e-08
301,1.000000,0.003517,3.916192e-08,3.916192e-08
301,1.000000,0.003138,3.916192e-08,3.916192e-08
301,1.000000,0.000692,3.916192e-08,3.916192e-08
301,1.000000,0.002637,3.916192e-08,3.916192e-08
301,1.000000,0.002828,3.916192e-08,3.916192e-08
301,1.000000,0.003121,3.916192e-08,3.916192e-08
301,1.000000,0.007839,3.916192e-08,3.916192e-08
301,1.000000,0.003393,3.916192e-08,3.916192e-08
301,1.000000,0.002758,3.916192e-08,3.916192e-08
301,1.000000,0.003092,3.916192e-08,3.916192e-08
301,1.000000,0.002617,3.916192e-08,3.916192e-08
301,1.000000,0.000907,3.916192e-08,3.916192e-08
301,1.000000,0.002778,3.916192e-08,3.916192e-08
301,1.000000,0.000544,3.916192e-08,3.916192e-08
301,1.000000,0.004578,3.916192e-08,3.916192e-08
301,1.000000,0.000701,3.916192e-08,3.916192e-08
301,1.000000,0.005566,3.916192e-08,3.916192e-08
301,1.000000,0.004518,3.916192e-08,3.916192e-08
301,1.000000,0.002806,3.916192e-08,3.916192e-08
301,1.000000,0.000661,3.916192e-08,3.916192e-08
301,1.000000,0.000746,3.916192e-08,3.916192e-08
301,1.000000,0.000982,3.916192e-08,3.916192e-08
401,1.000000,0.003091,3.916192e-08,3.916192e-08
401,1.000000,0.005495,3.916192e-08,3.916192e-08
401,1.000000,0.000793,3.916192e-08,3.916192e-08
401,1.000000,0.003684,3.916192e-08,3.916192e-08
401,1.000000,0.000949,3.916192e-08,3.916192e-08
401,1.000000,0.000758,3.916192e-08,3.916192e-08
401,1.000000,0.004960,3.916192e-08,3.916192e-08
401,1.000000,0.003383,3.916192e-08,3.916192e-08
401,1.000000,0.003620,3.916192e-08,3.916192e-08
401,1.000000,0.001167,3.916192e-08,3.916192e-08
401,1.000000,0.003396,3.916192e-08,3.916192e-08
401,1.000000,0.003121,3.916192e-08,3.916192e-08
401,1.000000,0.001164,3.916192e-08,3.916192e-08
401,1.000000,0.001648,3.916192e-08,3.916192e-08
401,1.000000,0.003418,3.916192e-08,3.916192e-08
401,1.000000,0.000803,3.916192e-08,3.916192e-08
401,1.000000,0.003523,3.916192e-08,3.916192e-08
401,1.000000,0.003965,3.916192e-08,3.916192e-08
401,1.000000,0.006046,3.916192e-08,3.916192e-08
401,1.000000,0.003538,3.916192e-08,3.916192e-08
401,1.000000,0.001152,3.916192e-08,3.916192e-08
401,1.000000,0.001100,3.916192e-08,3.916192e-08
401,1.000000,0.000991,3.916192e-08,3.916192e-08
401,1.000000,0.000789,3.916192e-08,3.916192e-08
401,1.000000,0.003278,3.916192e-08,3.916192e-08
501,1.000000,0.003092,3.916192e-08,3.916192e-08
501,1.000000,0.000940,3.916192e-08,3.916192e-08
501,1.000000,0.003743,3.916192e-08,3.916192e-08
501,1.000000,0.000984,3.916192e-08,3.916192e-08
501,1.000000,0.004298,3.916192e-08,3.916192e-08
501,1.000000,0.003675,3.916192e-08,3.916192e-08
501,1.000000,0.000987,3.916192e-08,3.916192e-08
501,1.000000,0.005120,3.916192e-08,3.916192e-08
