Partition Size, Serial Trapezoidal Approximation, Time, Error, Abs Error,,Partition Size, Parallel Trapezoidal Approximation, Time, Error, Abs Error
8401,0.999999,0.003447,5.55E-07,5.55E-07,,8401,0.999999,0.052221,5.55E-07,5.55E-07
8501,0.999999,0.003478,5.44E-07,5.44E-07,,8501,0.999999,0.056387,5.44E-07,5.44E-07
8601,1,0.003523,5.33E-07,5.33E-07,,8601,0.985272,0.044992,1.47E-02,1.47E-02
8701,1,0.003601,5.23E-07,5.23E-07,,8701,1,0.028496,5.23E-07,5.23E-07
8801,1,0.003613,5.13E-07,5.13E-07,,8801,0.910807,0.057313,8.92E-02,8.92E-02
8901,1,0.003648,5.03E-07,5.03E-07,,8901,0.91619,0.038723,8.38E-02,8.38E-02
9001,1,0.003688,4.94E-07,4.94E-07,,9001,1,0.062249,4.94E-07,4.94E-07
9101,1,0.003847,4.85E-07,4.85E-07,,9101,1,0.034134,4.85E-07,4.85E-07
9201,1,0.004482,4.76E-07,4.76E-07,,9201,0.977097,0.06761,2.29E-02,2.29E-02
9301,1,0.00455,4.68E-07,4.68E-07,,9301,0.986499,0.058256,1.35E-02,1.35E-02
9401,1,0.004591,4.60E-07,4.60E-07,,9401,0.991346,0.046775,8.65E-03,8.65E-03
9501,1,0.00462,4.52E-07,4.52E-07,,9501,0.985571,0.054057,1.44E-02,1.44E-02
9601,1,0.004644,4.44E-07,4.44E-07,,9601,0.979099,0.071824,2.09E-02,2.09E-02
9701,1,0.004682,4.37E-07,4.37E-07,,9701,1.0002,0.068601,-2.00E-04,2.00E-04
9801,1,0.004766,4.29E-07,4.29E-07,,9801,0.999978,0.035193,2.21E-05,2.21E-05
9901,1,0.004836,4.22E-07,4.22E-07,,9901,0.982495,0.033141,1.75E-02,1.75E-02
10001,1,0.004919,4.16E-07,4.16E-07,,10001,0.988046,0.033883,1.20E-02,1.20E-02
10101,1,0.004913,4.09E-07,4.09E-07,,10101,0.975392,0.06354,2.46E-02,2.46E-02
10201,1,0.00494,4.03E-07,4.03E-07,,10201,1.000382,0.03058,-3.82E-04,3.82E-04
10301,1,0.005005,3.97E-07,3.97E-07,,10301,1,0.044151,3.97E-07,3.97E-07
10401,1,0.005119,3.91E-07,3.91E-07,,10401,0.999828,0.055744,1.72E-04,1.72E-04
10501,1,0.005108,3.85E-07,3.85E-07,,10501,0.985427,0.029149,1.46E-02,1.46E-02
10601,1,0.005166,3.79E-07,3.79E-07,,10601,0.999047,0.039417,9.53E-04,9.53E-04
10701,1,0.005203,3.74E-07,3.74E-07,,10701,0.999157,0.024513,8.43E-04,8.43E-04
10801,1,0.005042,3.68E-07,3.68E-07,,10801,0.981789,0.056963,1.82E-02,1.82E-02
10901,1,0.004493,3.63E-07,3.63E-07,,10901,0.988761,0.051245,1.12E-02,1.12E-02
11001,1,0.004507,3.58E-07,3.58E-07,,11001,0.999999,0.06325,5.86E-07,5.86E-07
11101,1,0.004579,3.53E-07,3.53E-07,,11101,0.979602,0.044626,2.04E-02,2.04E-02
11201,1,0.004595,3.48E-07,3.48E-07,,11201,0.990924,0.056312,9.08E-03,9.08E-03
11301,1,0.004618,3.43E-07,3.43E-07,,11301,0.99949,0.063125,5.10E-04,5.10E-04
11401,1,0.004659,3.39E-07,3.39E-07,,11401,1.000363,0.040881,-3.63E-04,3.63E-04
11501,1,0.004698,3.34E-07,3.34E-07,,11501,1.000434,0.049949,-4.34E-04,4.34E-04
11601,1,0.004741,3.30E-07,3.30E-07,,11601,0.984998,0.060964,1.50E-02,1.50E-02
11701,1,0.004782,3.26E-07,3.26E-07,,11701,0.999977,0.04516,2.29E-05,2.29E-05
11801,1,0.004831,3.22E-07,3.22E-07,,11801,0.982687,0.034233,1.73E-02,1.73E-02
11901,1,0.004862,3.18E-07,3.18E-07,,11901,1,0.065578,3.18E-07,3.18E-07
12001,1,0.004906,3.14E-07,3.14E-07,,12001,0.988846,0.067041,1.12E-02,1.12E-02
12101,1,0.004956,3.10E-07,3.10E-07,,12101,0.93834,0.079877,6.17E-02,6.17E-02
12201,1,0.004983,3.06E-07,3.06E-07,,12201,0.999928,0.069389,7.16E-05,7.16E-05
12301,1,0.005053,3.03E-07,3.03E-07,,12301,0.990949,0.047638,9.05E-03,9.05E-03
12401,1,0.005066,2.99E-07,2.99E-07,,12401,0.984391,0.070462,1.56E-02,1.56E-02
12501,1,0.005118,2.96E-07,2.96E-07,,12501,0.984886,0.063666,1.51E-02,1.51E-02
12601,1,0.005146,2.92E-07,2.92E-07,,12601,0.981544,0.042489,1.85E-02,1.85E-02
12701,1,0.005188,2.89E-07,2.89E-07,,12701,0.999266,0.075712,7.34E-04,7.34E-04
12801,1,0.005264,2.86E-07,2.86E-07,,12801,0.980278,0.057842,1.97E-02,1.97E-02
12901,1,0.005268,2.83E-07,2.83E-07,,12901,0.983559,0.063571,1.64E-02,1.64E-02
13001,1,0.005341,2.80E-07,2.80E-07,,13001,1.000012,0.060476,-1.21E-05,1.21E-05
13101,1,0.00539,2.77E-07,2.77E-07,,13101,0.99961,0.086103,3.90E-04,3.90E-04
13201,1,0.005395,2.74E-07,2.74E-07,,13201,0.983914,0.071246,1.61E-02,1.61E-02
13301,1,0.00545,2.71E-07,2.71E-07,,13301,0.986981,0.077245,1.30E-02,1.30E-02
13401,1,0.005487,2.68E-07,2.68E-07,,13401,1.000513,0.093643,-5.13E-04,5.13E-04
13501,1,0.00552,2.65E-07,2.65E-07,,13501,0.985269,0.075816,1.47E-02,1.47E-02
13601,1,0.00556,2.63E-07,2.63E-07,,13601,0.999926,0.082518,7.38E-05,7.38E-05
13701,1,0.005607,2.60E-07,2.60E-07,,13701,0.996341,0.057034,3.66E-03,3.66E-03
13801,1,0.005646,2.57E-07,2.57E-07,,13801,0.980939,0.039323,1.91E-02,1.91E-02
13901,1,0.005679,2.55E-07,2.55E-07,,13901,0.992656,0.08658,7.34E-03,7.34E-03
14001,1,0.005721,2.52E-07,2.52E-07,,14001,0.999689,0.0741,3.11E-04,3.11E-04
14101,1,0.005766,2.50E-07,2.50E-07,,14101,0.994658,0.055324,5.34E-03,5.34E-03
14201,1,0.005807,2.48E-07,2.48E-07,,14201,0.999638,0.06248,3.62E-04,3.62E-04
14301,1,0.00589,2.45E-07,2.45E-07,,14301,0.98025,0.038861,1.98E-02,1.98E-02
14401,1,0.00591,2.43E-07,2.43E-07,,14401,0.98096,0.09979,1.90E-02,1.90E-02
14501,1,0.005925,2.41E-07,2.41E-07,,14501,0.984233,0.082808,1.58E-02,1.58E-02
14601,1,0.005962,2.39E-07,2.39E-07,,14601,0.983557,0.086205,1.64E-02,1.64E-02
14701,1,0.006021,2.37E-07,2.37E-07,,14701,0.994552,0.093734,5.45E-03,5.45E-03
14801,1,0.006474,2.35E-07,2.35E-07,,14801,0.957826,0.054669,4.22E-02,4.22E-02
14901,1,0.006473,2.33E-07,2.33E-07,,14901,1.000086,0.053644,-8.58E-05,8.58E-05
15001,1,0.006547,2.31E-07,2.31E-07,,15001,0.986673,0.075396,1.33E-02,1.33E-02
15101,1,0.006173,2.29E-07,2.29E-07,,15101,0.993695,0.080425,6.30E-03,6.30E-03
15201,1,0.006213,2.27E-07,2.27E-07,,15201,0.999934,0.113073,6.65E-05,6.65E-05
15301,1,0.00628,2.25E-07,2.25E-07,,15301,0.988363,0.034107,1.16E-02,1.16E-02
15401,1,0.006308,2.23E-07,2.23E-07,,15401,0.978392,0.081267,2.16E-02,2.16E-02
15501,1,0.006347,2.21E-07,2.21E-07,,15501,0.981596,0.04721,1.84E-02,1.84E-02
15601,1,0.006382,2.19E-07,2.19E-07,,15601,0.999978,0.065017,2.20E-05,2.20E-05
15701,1,0.006809,2.18E-07,2.18E-07,,15701,0.934488,0.052725,6.55E-02,6.55E-02
15801,1,0.006848,2.16E-07,2.16E-07,,15801,0.982839,0.061781,1.72E-02,1.72E-02
15901,1,0.006885,2.14E-07,2.14E-07,,15901,0.979573,0.086794,2.04E-02,2.04E-02
16001,1,0.006549,2.13E-07,2.13E-07,,16001,0.97913,0.105506,2.09E-02,2.09E-02
