Thread,Average,Min,Max,Range,Variance
513,0.243392,0.220536,0.270132,0.049596,0.059333
514,0.242114,0.216189,0.263268,0.047079,0.058718
515,0.243391,0.227686,0.265535,0.037849,0.059312
516,0.240866,0.221812,0.256407,0.034595,0.058080
517,0.244153,0.225924,0.278748,0.052824,0.059709
518,0.244693,0.225393,0.270096,0.044703,0.059965
519,0.243076,0.220432,0.263859,0.043427,0.059175
520,0.242288,0.225945,0.267471,0.041526,0.058779
521,0.243596,0.220864,0.269021,0.048157,0.059440
522,0.242514,0.216893,0.263949,0.047056,0.058899
523,0.245984,0.227741,0.270739,0.042998,0.060599
524,0.243136,0.222588,0.261968,0.039380,0.059183
525,0.242134,0.223960,0.263423,0.039463,0.058724
526,0.242402,0.222965,0.278103,0.055138,0.058895
527,0.242686,0.226892,0.263938,0.037046,0.058999
528,0.244039,0.223489,0.281087,0.057598,0.059685
529,0.242305,0.219000,0.261873,0.042873,0.058809
530,0.242946,0.227830,0.262747,0.034917,0.059114
531,0.242579,0.228915,0.264987,0.036072,0.058928
532,0.243496,0.225048,0.265347,0.040299,0.059390
533,0.243135,0.218093,0.265502,0.047409,0.059211
534,0.242348,0.226595,0.266542,0.039947,0.058818
535,0.244343,0.223850,0.263334,0.039484,0.059804
536,0.249087,0.229535,0.277813,0.048278,0.062150
537,0.244573,0.232455,0.264448,0.031993,0.059886
538,0.243849,0.219624,0.270052,0.050428,0.059552
539,0.245679,0.227693,0.262315,0.034622,0.060440
540,0.244758,0.222957,0.259292,0.036335,0.059980
541,0.244263,0.226200,0.267141,0.040941,0.059761
542,0.243947,0.232884,0.266411,0.033527,0.059561
543,0.245426,0.225764,0.280768,0.055004,0.060327
544,0.242068,0.219385,0.264386,0.045001,0.058707
545,0.246106,0.227612,0.263949,0.036337,0.060644
546,0.243041,0.224694,0.271150,0.046456,0.059176
547,0.244556,0.224507,0.264041,0.039534,0.059897
548,0.243431,0.225537,0.269878,0.044341,0.059344
549,0.243465,0.219291,0.263080,0.043789,0.059361
550,0.242961,0.226249,0.260192,0.033943,0.059106
551,0.244418,0.226378,0.277943,0.051565,0.059828
552,0.245621,0.223232,0.280030,0.056798,0.060465
553,0.246235,0.216985,0.274668,0.057683,0.060751
554,0.246209,0.225896,0.265148,0.039252,0.060688
555,0.243210,0.224312,0.262802,0.038490,0.059239
556,0.244327,0.215283,0.267727,0.052444,0.059805
557,0.242751,0.216780,0.269815,0.053035,0.059017
558,0.244912,0.229388,0.266779,0.037391,0.060067
559,0.244146,0.220911,0.267818,0.046907,0.059686
560,0.246228,0.226627,0.267644,0.041017,0.060704
561,0.244644,0.224157,0.265884,0.041727,0.059962
562,0.245364,0.226054,0.271622,0.045568,0.060294
563,0.244386,0.214318,0.271591,0.057273,0.059853
564,0.244692,0.224475,0.274510,0.050035,0.059984
565,0.245429,0.231399,0.266919,0.035520,0.060297
566,0.243901,0.220438,0.272448,0.052010,0.059571
567,0.246283,0.227034,0.277341,0.050307,0.060746
568,0.243977,0.227365,0.266222,0.038857,0.059628
569,0.246300,0.230520,0.262988,0.032468,0.060735
570,0.245769,0.229984,0.259867,0.029883,0.060462
571,0.242604,0.224932,0.260017,0.035085,0.058943
572,0.243424,0.217938,0.263880,0.045942,0.059340
573,0.246110,0.229947,0.269297,0.039350,0.060651
574,0.241704,0.218769,0.267583,0.048814,0.058534
575,0.243132,0.220370,0.268276,0.047906,0.059214
576,0.244573,0.224780,0.264818,0.040038,0.059909
577,0.244556,0.213100,0.273872,0.060772,0.059908
578,0.246768,0.224210,0.291845,0.067635,0.061111
579,0.243239,0.220755,0.276426,0.055671,0.059282
580,0.240884,0.221595,0.266993,0.045398,0.058132
581,0.244400,0.229045,0.265328,0.036283,0.059809
582,0.242345,0.225829,0.262724,0.036895,0.058794
583,0.242534,0.220435,0.260573,0.040138,0.058916
584,0.245107,0.225749,0.268632,0.042883,0.060173
585,0.244756,0.224435,0.259500,0.035065,0.059974
586,0.243260,0.222072,0.270556,0.048484,0.059262
587,0.244528,0.225217,0.261354,0.036137,0.059872
588,0.245686,0.233188,0.264398,0.031210,0.060434
589,0.244751,0.228294,0.261421,0.033127,0.059977
590,0.244486,0.226867,0.300464,0.073597,0.059919
591,0.241606,0.223908,0.264839,0.040931,0.058442
592,0.243857,0.217616,0.268877,0.051261,0.059576
593,0.248811,0.229002,0.272792,0.043790,0.062048
594,0.242589,0.215413,0.258529,0.043116,0.058932
595,0.243586,0.226833,0.258914,0.032081,0.059395
596,0.244084,0.221313,0.274477,0.053164,0.059682
597,0.245589,0.219142,0.268174,0.049032,0.060442
598,0.245304,0.228805,0.278376,0.049571,0.060254
599,0.244362,0.224724,0.269295,0.044571,0.059793
600,0.243697,0.224436,0.267070,0.042634,0.059466
601,0.244644,0.228340,0.268712,0.040372,0.059926
602,0.243455,0.221076,0.260766,0.039690,0.059337
603,0.242632,0.225855,0.269024,0.043169,0.058971
604,0.243380,0.227588,0.264727,0.037139,0.059319
605,0.246533,0.224064,0.272114,0.048050,0.060894
606,0.245591,0.225958,0.272497,0.046539,0.060427
607,0.244103,0.221096,0.262875,0.041779,0.059652
608,0.243568,0.227048,0.284275,0.057227,0.059433
609,0.245581,0.226618,0.266596,0.039978,0.060421
610,0.245166,0.228749,0.267020,0.038271,0.060195
611,0.244429,0.226879,0.260620,0.033741,0.059806
612,0.246319,0.229962,0.281712,0.051750,0.060760
613,0.245979,0.225033,0.273536,0.048503,0.060600
614,0.248295,0.224944,0.284471,0.059527,0.061773
615,0.246209,0.228337,0.270944,0.042607,0.060695
616,0.247738,0.225175,0.271392,0.046217,0.061503
617,0.243365,0.229759,0.265362,0.035603,0.059302
618,0.246312,0.218911,0.267470,0.048559,0.060770
619,0.243738,0.221267,0.262624,0.041357,0.059512
620,0.244723,0.226437,0.261164,0.034727,0.059964
621,0.244968,0.226242,0.269381,0.043139,0.060097
622,0.243038,0.228349,0.264859,0.036510,0.059131
623,0.243627,0.227517,0.268537,0.041020,0.059423
624,0.242490,0.223970,0.264120,0.040150,0.058895
625,0.245483,0.225882,0.273312,0.047430,0.060361
626,0.248085,0.229053,0.276584,0.047531,0.061670
627,0.245947,0.225757,0.275707,0.049950,0.060618
628,0.243584,0.220560,0.274245,0.053685,0.059459
629,0.247255,0.229488,0.267807,0.038319,0.061229
630,0.246123,0.227636,0.262337,0.034701,0.060652
631,0.246728,0.222280,0.268541,0.046261,0.060977
632,0.246956,0.218545,0.279058,0.060513,0.061144
633,0.247758,0.230254,0.275919,0.045665,0.061468
634,0.248454,0.229549,0.280206,0.050657,0.061830
635,0.241752,0.222079,0.272606,0.050527,0.058566
636,0.240999,0.216678,0.270603,0.053925,0.058158
637,0.242832,0.226786,0.262223,0.035437,0.059024
638,0.241866,0.221505,0.267607,0.046102,0.058574
639,0.242974,0.226725,0.264628,0.037903,0.059117
640,0.240193,0.224408,0.261930,0.037522,0.057770
641,0.241721,0.224500,0.271768,0.047268,0.058527
642,0.241429,0.221776,0.263359,0.041583,0.058374
643,0.242361,0.225827,0.268969,0.043142,0.058828
644,0.242863,0.227282,0.269649,0.042367,0.059067
645,0.243251,0.226610,0.275527,0.048917,0.059274
646,0.241358,0.226272,0.270369,0.044097,0.058378
