ThreadCount,Time
292,0.339774
293,0.333851
294,0.319203
295,0.346276
296,0.348372
297,0.327915
298,0.298298
299,0.323596
300,0.335861
301,0.312118
302,0.295777
303,0.304711
304,0.324668
305,0.350858
306,0.368391
307,0.353960
308,0.314803
309,0.356175
310,0.321380
311,0.321835
312,0.333535
313,0.328251
314,0.334415
315,0.351651
316,0.338537
317,0.330272
318,0.347502
319,0.343167
320,0.307563
321,0.353596
322,0.347904
323,0.323856
324,0.331464
325,0.326874
326,0.328660
327,0.334274
328,0.349102
329,0.328897
330,0.331902
331,0.330681
332,0.313405
333,0.328109
334,0.353318
335,0.326541
336,0.320547
337,0.343735
338,0.348627
339,0.333576
340,0.335199
341,0.333577
342,0.358410
343,0.326792
344,0.351881
345,0.366201
346,0.339008
347,0.331758
348,0.347487
349,0.334540
350,0.327480
351,0.340527
352,0.331602
353,0.308051
354,0.332764
355,0.350614
356,0.417961
357,0.393251
358,0.339227
359,0.315154
360,0.291502
361,0.291975
362,0.316199
363,0.287128
364,0.278369
365,0.275077
366,0.312797
367,0.287103
368,0.281536
369,0.287516
370,0.267014
371,0.300605
372,0.266941
373,0.289173
374,0.307354
375,0.275978
376,0.260185
377,0.291623
378,0.295426
379,0.283233
380,0.279330
381,0.279842
382,0.299136
383,0.287436
384,0.278624
385,0.282244
386,0.303175
387,0.294762
388,0.281168
389,0.283471
390,0.294884
391,0.301595
392,0.310994
393,0.314997
394,0.344567
395,0.307991
396,0.283506
397,0.294273
398,0.282060
399,0.310398
400,0.284089
401,0.294200
402,0.290686
403,0.287509
404,0.296289
405,0.284938
406,0.309982
407,0.284041
408,0.323741
409,0.291174
410,0.286000
411,0.320741
412,0.293454
413,0.294725
414,0.298497
415,0.294124
416,0.321827
417,0.284312
418,0.289358
419,0.298091
420,0.303272
421,0.286648
422,0.280172
423,0.300713
424,0.289174
425,0.287542
426,0.280735
427,0.299500
428,0.290863
429,0.305267
430,0.305076
431,0.296359
432,0.304031
433,0.321095
434,0.286523
435,0.314289
436,0.280626
437,0.295560
438,0.300783
439,0.288768
440,0.303367
441,0.299819
442,0.331682
443,0.298383
444,0.277787
445,0.281782
446,0.294777
447,0.300868
448,0.297020
449,0.302897
450,0.315525
451,0.290826
452,0.311852
453,0.316675
454,0.309924
455,0.292597
456,0.313654
457,0.323968
458,0.284933
459,0.305490
460,0.290177
461,0.319774
462,0.298621
463,0.318283
464,0.327313
465,0.313966
466,0.285206
467,0.307095
468,0.357968
469,0.370680
470,0.369187
471,0.296345
472,0.298792
473,0.334803
474,0.316178
475,0.351443
476,0.335961
477,0.285825
478,0.302736
479,0.306418
480,0.309404
481,0.285772
482,0.320090
483,0.306098
484,0.311152
485,0.322751
486,0.291992
487,0.323812
488,0.283060
489,0.339595
490,0.322292
491,0.351310
492,0.303645
493,0.298547
494,0.303139
495,0.287887
496,0.303534
497,0.296488
498,0.319795
499,0.310314
500,0.294298
501,0.328711
502,0.315094
503,0.332704
504,0.310610
505,0.309817
506,0.294474
507,0.413759
508,0.398360
509,0.413366
510,0.433268
511,0.391273
512,0.331302
513,0.361434
514,0.344140
515,0.341495
516,0.309070
517,0.376888
518,0.363922
519,0.290962
520,0.401605
521,0.309627
522,0.333785
523,0.385886
524,0.284635
525,0.297638
526,0.292841
527,0.298769
528,0.292280
529,0.298386
530,0.325541
531,0.287575
532,0.320183
533,0.313136
534,0.325075
535,0.323944
536,0.345168
537,0.307023
538,0.294568
539,0.304896
540,0.320992
541,0.358643
542,0.314303
543,0.349337
544,0.329506
545,0.315079
546,0.328080
547,0.445466
548,0.357239
549,0.414707
550,0.371297
551,0.363365
552,0.372524
553,0.378902
554,0.319460
555,0.378769
556,0.359424
557,0.380763
558,0.341263
559,0.347593
560,0.365004
561,0.360566
562,0.388601
563,0.299230
564,0.303124
565,0.317908
566,0.358187
567,0.320446
568,0.365115
569,0.411883
570,0.409468
571,0.450594
572,0.393327
573,0.381384
574,0.434524
575,0.391519
576,0.324561
577,0.316840
578,0.373939
579,0.323298
580,0.309848
581,0.315170
582,0.340551
583,0.336340
584,0.304271
585,0.334035
586,0.324755
587,0.345518
588,0.316587
589,0.364724
590,0.336464
591,0.424673
592,0.353164
593,0.356276
594,0.324094
595,0.341553
596,0.386570
597,0.451684
598,0.404538
599,0.442848
600,0.433409
601,0.437472
602,0.388752
603,0.405217
604,0.397385
605,0.369944
606,0.306844
607,0.341587
608,0.308610
609,0.325626
610,0.341351
611,0.300328
612,0.322467
613,0.356358
614,0.414213
615,0.416420
616,0.446115
617,0.439499
618,0.420136
619,0.358142
620,0.412976
621,0.382067
622,0.335216
623,0.291098
624,0.306030
625,0.381722
626,0.381290
627,0.352238
628,0.411185
629,0.374089
630,0.399214
631,0.406160
632,0.392243
633,0.473038
634,0.456133
635,0.422022
636,0.433940
637,0.348446
638,0.306413
639,0.319976
640,0.377970
641,0.397451
642,0.426685
643,0.459701
644,0.403517
645,0.449385
646,0.405340
647,0.458994
