Dimension,Time
3500,0.321113
3500,0.327975
3500,0.307746
3500,0.341161
3500,0.325920
3500,0.328168
3500,0.332030
3500,0.317650
3500,0.312718
3500,0.313689
3500,0.317023
3500,0.316815

3600,0.333122
3600,0.335361
3600,0.346712
3600,0.326107
3600,0.336252
3600,0.343794
3600,0.332867
3600,0.343204
3600,0.352002
3600,0.334757
3600,0.335133
3600,0.333101
3600,0.336888
3600,0.344627
3600,0.341420
3600,0.343843
3600,0.345209
3600,0.330603
3600,0.346407
3600,0.332764
3600,0.336593
3600,0.336862
3600,0.358752
3600,0.325857
3600,0.372679
3600,0.325901
3600,0.326178
3600,0.352589
3600,0.340727
3600,0.325888
3600,0.361694
3600,0.357267
3600,0.341366
3600,0.348759
3600,0.335509
3600,0.338994
3600,0.337907
3600,0.340886
3600,0.328874
3600,0.333104
3600,0.326286
3600,0.335619
3600,0.342673
3600,0.344947
3600,0.346054
3600,0.345179
3600,0.346770
3600,0.347916
