Thread,Average,Min,Max,Range,Variance
466,0.395587,0.351345,0.432824,0.081479,0.156923
467,0.394713,0.351152,0.430798,0.079646,0.156145
468,0.404368,0.352164,0.518511,0.166347,0.164561
469,0.435474,0.354927,0.650784,0.295857,0.193852
470,0.406291,0.356255,0.490104,0.133849,0.165827
471,0.392754,0.339371,0.458139,0.118768,0.154958
472,0.395442,0.351677,0.442134,0.090457,0.156839
473,0.395230,0.341791,0.428032,0.086241,0.156632
474,0.392507,0.350853,0.444820,0.093967,0.154489
475,0.391386,0.340364,0.433683,0.093319,0.153731
476,0.403086,0.337599,0.444958,0.107359,0.162994
477,0.405164,0.357317,0.448707,0.091390,0.164599
478,0.398946,0.353040,0.458738,0.105698,0.159585
479,0.398389,0.356964,0.444573,0.087609,0.159158
480,0.404046,0.351290,0.460747,0.109457,0.163772
481,0.393601,0.350823,0.434461,0.083638,0.155309
482,0.395244,0.345378,0.439677,0.094299,0.156640
483,0.392570,0.344655,0.462481,0.117826,0.154669
484,0.392856,0.353595,0.433739,0.080144,0.154661
485,0.395126,0.352343,0.440637,0.088294,0.156557
486,0.396018,0.356217,0.453853,0.097636,0.157254
487,0.397197,0.355716,0.442430,0.086714,0.158194
488,0.399869,0.354288,0.443953,0.089665,0.160240
489,0.399121,0.366820,0.440550,0.073730,0.159553
490,0.398661,0.356984,0.452031,0.095047,0.159442
491,0.395045,0.357442,0.451842,0.094400,0.156492
492,0.399942,0.354648,0.457053,0.102405,0.160431
493,0.394817,0.364621,0.437554,0.072933,0.156256
494,0.398414,0.353602,0.449626,0.096024,0.159147
495,0.396519,0.333947,0.443605,0.109658,0.157634
496,0.401707,0.348956,0.463189,0.114233,0.162014
497,0.404035,0.349870,0.461055,0.111185,0.163809
498,0.403264,0.366488,0.456769,0.090281,0.163093
499,0.409352,0.372591,0.475242,0.102651,0.168000
500,0.402248,0.369095,0.444287,0.075192,0.162120
501,0.403360,0.335581,0.471255,0.135674,0.163154
502,0.398247,0.343237,0.444187,0.100950,0.159120
503,0.402728,0.357217,0.441187,0.083970,0.162532
504,0.398725,0.351191,0.444531,0.093340,0.159383
505,0.398877,0.350879,0.439980,0.089101,0.159525
506,0.403964,0.348008,0.460697,0.112689,0.163757
507,0.397903,0.347848,0.439501,0.091653,0.158809
508,0.403441,0.355586,0.449798,0.094212,0.163204
509,0.396558,0.353173,0.464140,0.110967,0.157914
510,0.396241,0.347173,0.448333,0.101160,0.157577
511,0.401535,0.354232,0.464701,0.110469,0.161818
512,0.403540,0.370405,0.464587,0.094182,0.163311
513,0.405165,0.364540,0.444504,0.079964,0.164577
514,0.394210,0.354377,0.437267,0.082890,0.155764
515,0.405691,0.353611,0.450732,0.097121,0.165139
516,0.402639,0.343717,0.469059,0.125342,0.162813
517,0.400822,0.356565,0.458891,0.102326,0.161152
518,0.404217,0.361173,0.462562,0.101389,0.163979
519,0.404253,0.361564,0.446111,0.084547,0.163858
